"text","created_at"
"maka missun mag videoke 
https://t.co/NY7nlLIH50","2020-05-25T09:18:03.000Z"
"So nagising ako 4pm. Ano na. Mag gagabi na naman. Hahahahahahha!","2020-05-25T09:18:04.000Z"
"happy monday!! 😙 https://t.co/9PUDq0OUcu","2020-05-25T09:18:06.000Z"
"your eyes are like oceans and im slowly drowning in them..","2020-05-25T09:18:07.000Z"
"Nagdadala daw yung mga dolphin ng coral kasi namimiss nila yung mga taong bumibisita sa kanila.. 😭","2020-05-25T09:18:08.000Z"
"#백현  #BAEKHYUN  #엑소 #EXO #weareoneEXO #Delight  #Candy #BAEKHYUN_Candy  #큥이_에리_기가막힌_케미스트리 https://t.co/D7izvJhxp9","2020-05-25T09:18:09.000Z"
"@gmawowowin 0⃣9⃣3⃣0⃣  3⃣1⃣8⃣  8⃣6⃣8⃣1⃣
MARIPOL SEBASTIAN 
LAS PIÑAS CITY 
#Shopee #Frontrow 
#Gencee #Plemex
#TutokToWinSaWowowin 
#PandemicPeriod","2020-05-25T09:18:10.000Z"
"hahaha talaga pinandigan pag tweet ganito gugupit sobra fesh at cute 

BARBER NA SI MAYMAY https://t.co/aHQ7AD1JxW","2020-05-25T09:18:10.000Z"
"@ogie_rosa @143redangel https://t.co/ZpWlZT5ypq","2020-05-25T09:18:13.000Z"
"@chelsixxi 🥺♥️👉👈 https://t.co/WuFXxSmyzM","2020-05-25T09:18:13.000Z"
"@jmfritzie under rated 😽","2020-05-25T09:18:13.000Z"
"Makikita mo talaga na enjoy na enjoy si baek while nag sh-shoot my baby🤧
#백현 #BAEKHYUN #엑소 #EXO #weareoneEXO #Delight #Candy #큥이_에리_기가막힌_케미스트리 @weareoneEXO @B_hundred_Hyun","2020-05-25T09:18:13.000Z"
"LORD SALAMAT! SALAMAT! SALAMAT KAAYO! 😭😭😭 KAHILAKON KAAYO KO!!","2020-05-25T09:18:13.000Z"
"it’s a wrap! 📸","2020-05-25T09:18:13.000Z"
"💯 https://t.co/wNgxM9XyCd","2020-05-25T09:18:15.000Z"
"— skin ni oddette pa monthsary please 🤣, o kaya send diamonds! 💎😂 Mga 1k diamonds ganon! HAHAHAHAHAHAHA.","2020-05-25T09:18:16.000Z"
"Bakit walang pagkain sa bahaaaaay 😔","2020-05-25T09:18:17.000Z"
"STRAWBERRY BUBBLE GUM. 🍓

#백현 
#BAEKHYUN
#Delight 
#BAEKHYUN_Candy 
#큥이_에리_기가막힌_케미스트리","2020-05-25T09:18:17.000Z"
"🤔 https://t.co/wWRTFn7egH","2020-05-25T09:18:17.000Z"
"Waaah the items are already posted on weverse shop 💸💸💸 https://t.co/IA3Oel5vfG","2020-05-25T09:18:17.000Z"
"sobrang nagpapa hirap sa mga online seller kagaya ko itong lockdown na tooooo :'&lt;&lt;","2020-05-25T09:18:18.000Z"
"@trsshnn Hahahahhahahahaha set na set na!! ☹️❤️","2020-05-25T09:18:19.000Z"
"#백현  #BAEKHYUN  #엑소 #EXO #weareoneEXO #Delight  #Candy #BAEKHYUN_Candy  #큥이_에리_기가막힌_케미스트리 https://t.co/tG5nOHHWdO","2020-05-25T09:18:19.000Z"
"Sobra naman yon 💔","2020-05-25T09:18:20.000Z"
"I hope someday you will care","2020-05-25T09:18:20.000Z"
"It's nice it's nice to know yah let's do it again🎶🎶...💪💪 https://t.co/hS3Hbbxujs","2020-05-25T09:18:24.000Z"
"hahahahaha practice practice pa ako magluto ng pancake yung nagrerequest sa akin na ipagluto ko siya ng pancake after quarantine wala na :&lt;","2020-05-25T09:18:27.000Z"
"@gmawowowin 0⃣9⃣3⃣0⃣  3⃣1⃣8⃣  8⃣6⃣8⃣1⃣
MARIPOL SEBASTIAN 
LAS PIÑAS CITY 
#Shopee #Frontrow 
#Gencee #Plemex
#ShopeeShakeToWin","2020-05-25T09:18:27.000Z"
"https://t.co/wSEXXv7Cay","2020-05-25T09:18:28.000Z"
"@shxngiee @oui_recio alam naman mi sheng yun ih diba sheng 😘 paolo na lang bigay mo na name ha","2020-05-25T09:18:30.000Z"
"balik ka na bailey 2.0 :&lt; https://t.co/tISSDg7Qbj","2020-05-25T09:18:30.000Z"
"stayed on the shower longer than the usual dahil badtrip si mahal sa kaworkmate niya ehe baka madamay ako precautionary measures u know HAHAHAHAHA","2020-05-25T09:18:31.000Z"
"https://t.co/m5XgyitNsg","2020-05-25T09:18:32.000Z"
"@PozHero_ Mukha na nga akong anneonghaseo eh hahahaha 😂😂😂😂","2020-05-25T09:18:32.000Z"
"🐷 https://t.co/4K8oJ0DCYu","2020-05-25T09:18:37.000Z"
"FINALLY SOMEONE UNDERSTANDS HAHHAHA https://t.co/ynlDasD5Du","2020-05-25T09:18:37.000Z"
"@jaaaydlls HALA OH MAY NABUBUO? AAAAAH AHAHAHAH😍😂","2020-05-25T09:18:37.000Z"
"lezgooo maka balik nakos akong room tomorrooww hahahaha","2020-05-25T09:18:38.000Z"
